abbr,stateName,obesity,Food_stamps
AL,Alabama,35.7,14.6
AK,Alaska,31.39,10.5
AZ,Arizona,29.01,12.4
AR,Arkansas,35.68,12.5
CA,California,25,9.6
CO,Colorado,22.27,8.1
CT,Connecticut,25.98,13.1
DE,Delaware,30.7,11.2
DC,District of Columbia,22.58,14.5
FL,Florida,27.44,14.2
GA,Georgia,31.42,14
HI,Hawaii,23.83,11.8
ID,Idaho,27.38,10.9
IL,Illinois,31.62,13.3
IN,Indiana,32.46,10.8
IA,Iowa,31.97,10.9
KS,Kansas,31.16,7.9
KY,Kentucky,34.16,14.9
LA,Louisiana,35.53,16.7
ME,Maine,29.92,14.2
MD,Maryland,29.92,11
MA,Massachusetts,23.58,12
MI,Michigan,32.47,14.1
MN,Minnesota,27.78,8.2
MS,Mississippi,37.26,15.7
MO,Missouri,31.66,11.5
MT,Montana,25.48,10.6
NE,Nebraska,31.99,9
NV,Nevada,25.8,13.1
NH,New Hampshire,26.57,7.1
NJ,New Jersey,27.35,9.4
NM,New Mexico,28.34,16.9
NY,New York,25.52,15
NC,North Carolina,31.82,13.5
ND,North Dakota,31.93,7.2
OH,Ohio,31.47,13.8
OK,Oklahoma,32.76,13.3
OR,Oregon,28.74,16.8
PA,Pennsylvania,30.28,13.4
RI,Rhode Island,26.62,15.9
SC,South Carolina,32.27,14
SD,South Dakota,29.6,9.4
TN,Tennessee,34.84,14.6
TX,Texas,33.65,12.3
UT,Utah,25.35,7.2
VT,Vermont,27.07,13
VA,Virginia,28.98,8.6
WA,Washington,28.61,12.6
WV,West Virginia,37.66,17.9
WI,Wisconsin,30.72,11.9
WY,Wyoming,27.7,5.9
PR,Puerto Rico,30.72,38.9